ID,en,ar,zh-Hans,zh-Hant,de,es,fa,fr,he,id,it,ja,ko,hu,nl,no,pl,pt-br,ru,uk,fi,vi,tr
AchievementDesc71,Collect 1000 stars in total.,إحصل على 1000 نجوم في المجموع.,总共收集1000颗星。,總共獲得1000顆星。,Sammle insgesamt 100 Sterne.,Obtén 1000 estrellas en total.,1000 ستاره در کل کسب کنید.,Obtenez un total de 1000 étoiles.,אסוף 1000 כוכבים בסך הכל.,Kumpulkan 1000 bintang total.,Raccogli un totale di 1000 stelle.,スターを合計1000個獲得する。,"별을 총 1,000개 획득하세요.",Szerezz összesen 1000 csillagot.,Verzamel in totaal 1000 sterren.,Få 1000 stjerner samlet sett.,Zbierz w sumie 1000 gwiazd.,Colete 1000 estrelas no total.,Получите всего 1000 звезд.,Отримайте загалом 1000 зірок.,Kerää 1000 tähteä yhteensä.,Nhận tổng cộng 1000 ngôi sao.,Toplamda 1000 yıldız kazan.
AchievementTitle72,Universe,الكون,宇宙,宇宙,Universum,Universo,کائنات,Univers,יקום,Alam Semesta,Universo,宇宙,우주,Világegyetem,Universum,Univers,Wszechświat,Universo,Вселенная,Всесвіт,Universumi,Vũ trụ,Evren
AchievementDesc72,Collect 10000 stars in total.,إحصل على 10000 نجوم في المجموع.,总共收集10000颗星。,總共獲得10000顆星。,Sammle insgesamt 1000 Sterne,Obtén 10000 estrellas en total.,10000 ستاره در کل کسب کنید.,Obtenez un total de 10000 étoiles.,"אסוף 10,000 כוכבים בסך הכל.",Kumpulkan 10000 bintang total.,Raccogli un totale di 10000 stelle.,スターを合計10000個獲得する。,"별을 총 10,000개 획득하세요.",Szerezz összesen 10000 csillagot.,Verzamel in totaal 10000 sterren.,Få 10000 stjerner ved å trykke på likningen,Zbierz w sumie 10000 gwiazd.,Colete 10000 estrelas no total.,Получите всего 10000 звезд.,Отримайте загалом 10000 зірок.,Kerää 10000 tähteä yhteensä.,Nhận tổng cộng 10000 ngôi sao.,Toplamda 10000 yıldız kazan.
AchievementTitle73,Another Dimension,البعد الآخر,平行宇宙,平行宇宙,Eine andere Dimension,Otra dimensión,یک بعد دیگه,Une autre dimension,מימד אחר,Dimensi Lain,Un'altra dimensione,別次元,다른 차원,Egy Másik Dimenzió,Een Andere Dimensie,En annen dimensjon,Inny wymiar,Outra Dimensão,Другое измерение,Інший вимір,Toinen Ulottuvuus,Chiều không gian khác,Farklı Bir Boyut
AchievementDesc73,Collect 100000 stars in total.,إحصل على 100000 نجوم في المجموع.,总共收集100000颗星。,總共獲得100000顆星。,Sammle insgesamt 100.000 Sterne.,Obtén 100000 estrellas en total.,100000 ستاره در کل کسب کنید.,Obtenez un total de 100000 étoiles.,"אסוף 100,000 כוכבים בסך הכל.",Kumpulkan 100000 bintang total.,Raccogli un totale di 100000 stelle.,スターを合計100000個獲得する。,"별을 총 100,000개 획득하세요.",Szerezz összesen 100000 csillagot.,Verzamel in totaal 100000 sterren.,Få 100000 stjerner samlet sett.,Zbierz w sumie 100000 gwiazd.,Colete 100000 estrelas no total.,Получите всего 100000 звезд.,Отримайте загалом 100000 зірок.,Kerää 100000 tähteä yhteensä.,Nhận tổng cộng 100000 ngôi sao.,Toplamda 100000 yıldız kazan.
AchievementTitle52,Freebie,الهدية الترويجية,幸运星,幸運星,Ein kleines Geschenk,Gratis,مفتی,Échantillon gratuit,חינמי,Gratisan,Campione gratuito,試供品,무료 증정,Szinte Ingyenes,Premie,Gratis,Darmówka,Brinde,Халява,Халява,Ilmaistarjous,Quà tặng miễn phí,Beleş
AchievementDesc52,Spend your first star.,انفق نجمتك الأولى.,花掉你的第一颗星。,花費你的第一顆星。,Gib deinen ersten Stern aus.,Usa tu primera estrella.,اولین ستاره‌تان را خرج کنید.,Dépensez votre première étoile.,בזבז את הכוכב הראשון שלך.,Belanjakan bintang pertamamu.,Spendi la tua prima stella,スターをはじめて消費する。,별을 사용하세요.,Költsd el az első csillagodat.,Geef je eerste ster uit.,Bruk din første stjerne.,Wydaj swoją pierwszą gwiazdę.,Gaste sua primeira estrela.,Потратьте первую звезду.,Витратьте першу зірку.,Käytä ensimmäinen tähtesi.,Sử dụng ngôi sao đầu tiên của bạn.,İlk yıldızını harca.
AchievementTitle53,Death Stars,نجوم الموت,死星,死星,Todessterne,Estrellas de la muerte,ستاره‌های در حال مرگ,Étoiles de la mort,כוכבי מוות,Bintang Mati,Stelle morenti,デススター,죽음의 별들,Halálcsillagok,Doodssterren,Dødsstjerner,Gwiazdy Śmierci,Estrelas da Morte,Звезды Смерти,Зірки Смерті,Kuolemantähdet,Những ngôi sao chết,Ölüm Yıldızı
AchievementDesc53,Spend 100 stars.,انفق 100 نجوم.,花掉100颗星。,花費100顆星。,Gib 100 Sterne aus.,Usa 100 estrellas.,100 ستاره خرج کنید.,Dépensez 100 étoiles.,בזבז 100 כוכבים.,Belanjakan 100 bintang.,Spendi 100 stelle.,スターを100個消費する。,별을 100개 사용하세요.,Költs el 100 csillagot.,Geef 100 sterren uit.,Bruk 100 stjerner.,Wydaj 100 gwiazd.,Gaste 100 estrelas.,Потратьте 100 звезд.,Витратьте 100 зірок.,Käytä 100 tähteä.,Sử dụng 100 ngôi sao.,100 yıldız harca.
AchievementTitle54,Star System,نظام النجوم,恒星系,恆星系,Sternensystem,Sistema estelar,منظومه شمسی,Système stellaire,מערכת כוכבים,Sistem Bintang,Sistema Solare,恒星系,항성계,Csillagrendszer,Sterrenstelsel,Stjernesystem,Układ gwiezdny,Sistema Estelar,Звездная система,Зоряна система,Tähtijärjestelmä,Hệ thống sao,Yıldız sistemi
AchievementDesc54,Spend 500 stars.,انفق 500 نجوم.,花掉500颗星。,花費500顆星。,Gib 500 Sterne aus.,Usa 500 estrellas.,500 ستاره خرج کنید.,Dépensez 500 étoiles.,בזבז 500 כוכבים.,Belanjakan 500 bintang.,Spendi 500 stelle.,スターを500個消費する。,별을 500개 사용하세요.,Költs el 500 csillagot.,Geef 500 sterren uit.,Bruk 500 stjerner.,Wydaj 500 gwiazd.,Gaste 500 estrelas.,Потратьте 500 звезд.,Витратьте 500 зірок.,Käytä 500 tähteä.,Sử dụng 500 ngôi sao.,500 yıldız harca.
AchievementTitle74,Spender,المسرف,挥星如土,揮星如土,Verschwender,Comprador,دست‌و‌دل‌باز,Dépensier,בזבזן,Pembelanja,Spendaccione,浪費家,물 쓰듯이,Költekező,Verkwister,Forbruker,Rozrzutny,Consumidor,Растратчик,Марнотратник,Tuhlari,Người tiêu pha,Müsrif
AchievementDesc74,Spend 5000 stars.,انفق 5000 نجوم.,花掉5000颗星。,花費5000顆星。,Gib 5000 Sterne aus.,Usa 5000 estrellas.,5000 ستاره خرج کنید.,Dépensez 5000 étoiles.,בזבז 5000 כוכבים.,Belanjakan 5000 bintang.,Spendi 5000 stelle.,スターを5000個消費する。,"별을 5,000개 사용하세요.",Költs el 5000 csillagot.,Geef 5000 sterren uit.,Bruk 5000 stjerner.,Wydaj 5000 gwiazd.,Gaste 5000 estrelas.,Потратьте 5000 звезд.,Витратьте 5000 зірок.,Käytä 5000 tähteä.,Sử dụng 5000 ngôi sao.,5000 yıldız harca.
AchievementTitle75,Shiny Things,اشياء لامعة,一闪一闪亮晶晶,一閃一閃亮晶晶,Glänzende Dinge,Cosas brillantes,زرق‌وبرق,Choses brillantes,דברים זוהרים,Sesuatu yang Bersinar,Oggetti luccicanti,輝くもの,반짝이는 것들,Fényes Dolgok,Glimmende Dingen,Skinnende ting,Błyskotki,Coisas Brilhantes,Блестящие штучки,Блискітки,Loistavia asioita,Những thứ lấp lánh,Parlak Şeyler
AchievementDesc75,Spend 20000 stars.,انفق 20000 نجوم.,花掉20000颗星。,花費20000顆星。,Gib 20000 Sterne aus.,Usa 20000 estrellas.,20000 ستاره خرج کنید.,Dépensez 20000 étoiles.,"בזבז 20,000 כוכבים.",Belanjakan 20000 bintang.,Spendi 20000 stelle.,スターを20000個消費する。,"별을 20,000개 사용하세요.",Költs el 20000 csillagot.,Geef 20000 sterren uit.,Bruk 20000 stjerner.,Wydaj 20000 gwiazd.,Gaste 20000 estrelas.,Потратьте 20000 звезд.,Витратьте 20000 зірок.,Käytä 20000 tähteä.,Sử dụng 20000 ngôi sao.,20000 yıldız harca.
AchievementCatMinigames,Minigames,العاب مصغرة,小游戏,小遊戲,Minispiele,Minijuegos,مینی بازی,Mini-jeux,מיני-משחקים,Minigame,Mini giochi,ミニゲーム,미니 게임,Mini Játékok,Minigames,Minispill,Mini gry,Minijogos,Мини-игры,Міні-ігри,Minipelit,Minigame,Mini Oyunlar
AchievementTitle58,Side Quest,مهمة جانبية,支线任务,支線任務,Nebenjob,Misión secundaria,مآموریت جانبی,Quête secondaire,משימה צדדית,Misi Sampingan,Missione secondaria,サイドクエスト,서브 퀘스트,Mellékküldetés,Zijqueste,Sideoppgave,Zadanie poboczne,Missão Secundária,Сторонние задания,Сторонні завдання,Sivujuoni,Nhiệm vụ phụ,Yan Görev
AchievementDesc58,Get 1 star from minigames.,إحصل على نجمة واحدة عبر الألعاب المصغرة.,从小游戏中赢得1颗星。,從小遊戲得到1顆星。,Erhalte 1. Stern von Minispielen.,Obtén 1 estrella por minijuegos.,1 ستاره از مینی بازی کسب کنید.,Obtenez 1 étoile avec les mini-jeux.,קבל כוכב אחד ממשחקים.,Dapatkan 1 bintang dari minigame.,Ottieni una stella dai minigiochi.,ミニゲームでスターを1個獲得する。,미니 게임에서 별을 1개 획득하세요.,Szerezz 1 csillagot mini játékokból.,Verdien 1 ster met minigames.,Få en stjerne fra minispill.,Zdobądź 1 gwiazdę z mini-gier.,Ganhe 1 estrela por minijogos.,Получите 1 звезду в мини-играх.,Отримайте 1 зірку в міні-іграх.,Saa 1 tähti minipeleistä.,Nhận 1 ngôi sao từ các minigame.,Mini oyunlardan 1 yıldız kazan
AchievementTitle59,Play Time,وقت اللعب,游戏时间,遊戲時間~,Spielzeit,Hora de jugar,زمان تفریح,Récréation,זמן משחק,Waktu Bermain,Ricreazione,遊びの時間,쉬는 시간,Játék Idő,Speeltijd,Spilletid,Czas gry,Tempo de Jogo,Время игр,Час гри,Peliaika,Thời gian chơi,Oyun Vakti
AchievementDesc59,Get 5 stars from minigames.,إحصل على 5 نجوم عبر الألعاب المصغرة.,从小游戏中赢得5颗星。,從小遊戲得到5顆星。,Erhalte 5 Sterne von Minispielen.,Obtén 5 estrellas por minijuegos.,5 ستاره از مینی بازی کسب کنید.,Obtenez 5 étoiles avec les mini-jeux.,קבל 5 כוכבים ממיני-משחקים.,Dapatkan 5 bintang dari minigame.,Ottieni 5 stelle dai minigiochi.,ミニゲームでスターを5個獲得する。,미니 게임에서 별을 5개 획득하세요.,Szerezz 5 csillagot mini játékokból.,Verdien 5 sterren met minigames.,Få 5 stjerner fra minispill.,Zdobądź 5 gwiazd z mini-gier.,Ganhe 5 estrelas por minijogos.,Получите 5 звезд в мини-играх.,Отримайте 5 зірок в міні-іграх.,Saa 5 tähteä minipeleistä.,Nhận 5 ngôi sao từ các minigame.,Mini oyunlardan 5 yıldız kazan
AchievementTitle60,Away From Keyboard,بعيد عن لوحة المفاتيح,挂机,掛機,Nicht das eigentliche Spiel,Lejos del teclado,AFK,Away From Keyboard (AFK),רחוק מהמקלדת,Menjauh dari Papan Ketik,AFK,離席中,자리 비움,Távol a géptől,Weg van het Toetsenbord,Borte fra tastaturet,Z dala od klawiatury,Longe do Teclado,Вдали от клавиатуры,Далеко від клавіатури,Away From Keyboard,Rời khỏi bàn phím,Klavyeden Uzakta
AchievementDesc60,Get 50 stars from minigames.,إحصل على 50 نجوم عبر الألعاب المصغرة.,从小游戏中赢得50颗星。,從小遊戲得到50顆星。,Erhalte 50 Sterne von Minispielen.,Obtén 50 estrellas por minijuegos.,50 ستاره از مینی بازی کسب کنید.,Obtenez 50 étoiles avec les mini-jeux.,קבל 50 כוכבים ממיני-משחקים.,Dapatkan 50 bintang dari minigame.,Ottieni 50 stelle dai minigiochi.,ミニゲームでスターを50個獲得する。,미니 게임에서 별을 50개 획득하세요.,Szerezz 50 csillagot mini játékokból.,Verdien 50 sterren met minigames.,Få 50 stjerner fra minispill.,Zdobądź 50 gwiazd z mini-gier.,Ganhe 50 estrelas por minijogos.,Получите 50 звезд в мини-играх.,Отримайте 50 зірок в міні-іграх.,Saa 50 tähteä minipeleistä.,Nhận 50 ngôi sao từ các minigame.,Mini oyunlardan 50 yıldız kazan
AchievementTitle61,Forgot the Main Quest,نسيت المهمة الرئيسية,逐渐遗忘主线,忘掉主線任務,Hauptaufgabe vergessen.,Olvidé la misión principal,ماموریت اصلی رو فراموش کردی؟,J'ai oublié la quête principale,שכחת את המשימה הראשית,Melupakan Misi Utama,Hai dimenticato l'obiettivo principale,メインクエストを忘れた,메인 퀘스트를 잊으셨군요,Elfelejtettem Mi A Fő Küldetés,Algemene Doel Vergeten,Har du glemt hovedoppdraget?,Zapomniałeś o głównym zadaniu,Esqueceu a Missão Principal,Забыл о главном,Забув про головне,Unohti Pääjuonen,Quên mất nhiệm vụ chính,Ana Görevi Unuttun
AchievementDesc61,Get 200 stars from minigames.,إحصل على 200 نجوم عبر الألعاب المصغرة.,从小游戏中赢得200颗星。,從小遊戲得到200顆星。,Erhalte 200 Sterne von Minispielen.,Obtén 200 estrellas por minijuegos.,200 ستاره از مینی بازی کسب کنید.,Obtenez 200 étoiles avec les mini-jeux.,קבל 200 כוכבים ממיני-משחקים.,Dapatkan 200 bintang dari minigame.,Ottieni 200 stelle dai minigiochi.,ミニゲームでスターを200個獲得する。,미니 게임에서 별을 200개 획득하세요.,Szerezzen 200 csillagot mini játékokból.,Verdien 200 sterren met minigames.,Få 200 stjerner fra minispill.,Zdobądź 200 gwiazd z mini-gier.,Ganhe 200 estrelas por minijogos.,Получите 200 звезд в мини-играх.,Отримайте 200 зірок в міні-іграх.,Saa 200 tähteä minipeleistä.,Nhận 200 ngôi sao từ các minigame.,Mini oyunlardan 200 yıldız kazan
AchievementTitle78,Welcome to the Dark Side,اهلًا وسهلًا بك إلى الجانب المظلم,欢迎来到黑暗面,歡迎來到黑暗面,Willkommen auf der Dunklen Seite,Bienvenido al lado oscuro,به سمت تاریک خوش آمدید,Bienvenue du côté obscur,ברוך הבא לצד האפל,Selamat Datang di Sisi Gelap,Benvenuto al Lato Oscuro,ダークサイドへようこそ,다크 사이드에 오신 것을 환영합니다,Üdv a Sötét Oldalon,Welkom bij de duistere kant,Velkommen til den mørke siden,Witamy po ciemnej stronie,Bem-vindo Ao Lado Sombrio,Темная Сторона луны,Ласкаво просимо на темну сторону,Tervetuloa pimeälle puolelle,Chào mừng về phe bóng tối,Karanlık Tarafa Hoş Geldin
AchievementDesc78,Use the dark theme.,إستخدم الخلفية المظلمة.,使用极暗主题。,使用深色主題。,Verwende das dunkle theme.,Utiliza el tema oscuro.,از تم تیره استفاده کنید.,Utilisez le thème sombre., השתמש בערכת הנושא הכהה.,Gunakan tema gelap.,"Utilizza il tema scuro,",ダークテーマを使用する。,다크 테마를 사용하세요.,Használd a sötét témát.,Gebruik het donkere thema.,Bruk mørkt tema.,Użyj ciemnego motywu.,Use o tema escuro.,Переключитесь на темную тему.,Використайте темну тему.,Käytä tummaa teemaa.,Sử dụng chủ đề tối.,Koyu temayı kullan.
AchievementTitle79,Wrong Ratio,نسبة الخطأ,比例错误,錯誤的比例,Falsches Verhältnis,Proporción incorrecta,نسبت اشتباه,Mauvais ratio,יחס שגוי,Rasio yang Salah,Rapporto sbagliato,間違った比率,잘못된 비율,Rossz Arány,Verkeerde Verhouding,Feil forhold,Niewłaściwy stosunek,Proporção Errada,Неверный коэффициент,Невірний коефіцієнт,Väärä suhde,Sai tỉ lệ,Yanlış Oran
